statea	stateb	year	dependa	dependb	demauta	demautb	allies	dispute1	logdstab	lcaprat2	smigoabi	opena	openb	minrpwrs	noncontg
2	20	1974	0.029924905	0.33363533	10	10	1	1	5.8201084	2.5130827	61	0.1728	0.498	-1.0	-1.0
2	20	1975	0.02803579	0.30552024	10	10	1	0	5.8201084	2.4593198	61	0.16360001	0.4721	-1.0	-1.0
2	20	1976	0.029188154	0.31219152	10	10	1	0	5.8201084	2.454015	62	0.1688	0.4562	-1.0	-1.0
2	20	1977	0.028682388	0.31315306	10	10	1	0	5.8201084	2.433993	62	0.1721	0.474	-1.0	-1.0
2	20	1978	0.028269926	0.31257683	10	10	1	1	5.8201084	2.4298604	62	0.17799999	0.506	-1.0	-1.0
2	20	1979	0.028991858	0.30875382	10	10	1	0	5.8201084	2.4043446	62	0.19309999	0.5413	-1.0	-1.0
2	20	1980	0.028581843	0.2897896	10	10	1	0	5.8201084	2.3569815	62	0.21100001	0.5508	-1.0	-1.0
2	20	1981	0.028460031	0.28396952	10	10	1	0	5.8201084	2.384279	65	0.204	0.53720003	-1.0	-1.0
2	20	1982	0.025539046	0.26150662	10	10	1	0	5.8201084	2.311597	68	0.1851	0.482	-1.0	-1.0
2	20	1983	0.026746294	0.2751921	10	10	1	0	5.8201084	2.3295002	72	0.177	0.4804	-1.0	-1.0
2	20	1984	0.030142117	0.31317815	10	10	1	0	5.8201084	2.5051126	75	0.1868	0.53610003	-1.0	-1.0
2	20	1985	0.029428078	0.29742247	10	10	1	0	5.8201084	2.4242978	78	0.18010001	0.5448	-1.0	-1.0
2	20	1986	0.026942195	0.27576277	10	10	1	0	5.8201084	2.4179423	70	0.1808	0.54150003	-1.0	-1.0
2	20	1987	0.02920212	0.29057318	10	10	1	0	5.8201084	2.4122052	62	0.19209999	0.5229	-1.0	-1.0
2	20	1988	0.031133609	0.30403987	10	10	1	1	5.8201084	2.4280794	55	0.2037	0.5254	-1.0	-1.0
2	20	1989	0.03224803	0.3143688	10	10	1	0	5.8201084	2.3896987	47	0.2091	0.5115	-1.0	-1.0
2	20	1990	0.032340936	0.32111913	10	10	1	1	5.8201084	2.4270594	39	0.215	0.51240003	-1.0	-1.0
2	20	1991	0.031882387	0.31910267	10	10	1	0	5.8201084	2.2177553	31	0.2136645	0.59399706	-1.0	-1.0
2	40	1925	0.005517411	0.51884896	10	3	0	0	6.5181284	3.9158065	17	0.09765426	0.66072583	-1.0	-1.0
2	40	1926	0.0045337733	0.47125688	10	3	0	0	6.5181284	3.8942173	18	0.09504349	0.586795	-1.0	-1.0
2	40	1927	0.0043176524	0.44016296	10	3	0	0	6.5181284	3.9032052	19	0.09258266	0.5611251	-1.0	-1.0
2	40	1928	0.0033219717	0.34626174	10	1	0	0	6.5181284	3.915906	19	0.09147379	0.5140007	-1.0	-1.0
2	40	1929	0.0031362155	0.32762444	10	1	0	0	6.5181284	3.915604	20	0.08983635	0.48228264	-1.0	-1.0
2	40	1930	0.002305171	0.2232207	10	1	0	0	6.5181284	3.9174323	21	0.07552451	0.34461585	-1.0	-1.0
2	40	1931	0.0017602046	0.1741051	10	1	0	0	6.5181284	3.9280994	21	0.058169115	0.2534649	-1.0	-1.0
2	40	1932	0.001130869	0.09736517	10	1	0	1	6.5181284	3.8914382	22	0.049397893	0.19069861	-1.0	-1.0
2	40	1933	0.0012577155	0.10929355	10	3	0	1	6.5181284	3.8901865	22	0.04790107	0.20137583	-1.0	-1.0
2	40	1934	0.001657002	0.13844581	10	3	0	0	6.5181284	3.868688	23	0.05642534	0.22658885	-1.0	-1.0
2	40	1935	0.0016778543	0.14664234	10	3	0	0	6.5181284	3.7655387	23	0.047115296	0.20334466	-1.0	-1.0
2	40	1936	0.0019277115	0.1810821	10	3	1	0	6.5181284	3.8043559	24	0.05758506	0.28455544	-1.0	-1.0
2	40	1937	0.0023576533	0.2253435	10	3	1	0	6.5181284	3.772292	25	0.0692032	0.32429433	-1.0	-1.0
2	40	1938	0.0021101376	0.19708589	10	3	1	0	6.5181284	3.7953284	27	0.058153875	0.26701072	-1.0	-1.0
2	40	1964	0.0	0.0	10	-7	0	0	6.5181284	3.8838177	38	0.09326735		-1.0	-1.0
2	40	1965	0.0	0.0	10	-7	0	0	6.5181284	3.6683934	38	0.0949		-1.0	-1.0
2	40	1966	0.0	0.0	10	-7	0	0	6.5181284	3.7372441	38	0.0986		-1.0	-1.0
2	40	1967	0.0	0.0	10	-7	0	0	6.5181284	3.7610536	38	0.0998		-1.0	-1.0
2	40	1968	0.0	0.0	10	-7	0	0	6.5181284	3.7161076	39	0.1038		-1.0	-1.0
2	40	1969	0.0	0.0	10	-7	0	0	6.5181284	3.6985688	39	0.1043		-1.0	-1.0
2	40	1970	0.0	0.0	10	-7	0	1	6.5181284	3.6356983	39	0.11350001		-1.0	-1.0
2	40	1971	0.0	0.0	10	-7	0	0	6.5181284	3.7102578	38	0.11350001		-1.0	-1.0
2	40	1972	0.0	0.0	10	-7	0	0	6.5181284	3.6439972	38	0.1195		-1.0	-1.0
2	40	1973	0.0	0.0	10	-7	0	1	6.5181284	3.616031	37	0.1369		-1.0	-1.0
2	40	1974	0.0	0.0	10	-7	0	1	6.5181284	3.5964272	37	0.1728		-1.0	-1.0
2	40	1975	0.0	0.0	10	-7	0	1	6.5181284	3.6372905	36	0.16360001		-1.0	-1.0
2	40	1976	0.0	0.0	10	-7	0	1	6.5181284	3.3087795	36	0.1688		-1.0	-1.0
2	40	1978	0.0	0.0	10	-7	0	1	6.5181284	3.3937778	37	0.17799999		-1.0	-1.0
2	40	1979	0.0	0.0	10	-7	0	0	6.5181284	3.386996	40	0.19309999		-1.0	-1.0
2	40	1980	0.0	0.0	10	-7	0	1	6.5181284	3.359517	42	0.21100001		-1.0	-1.0
2	40	1984	0.0	0.0	10	-7	0	0	6.5181284	3.718099	46	0.1868		-1.0	-1.0
2	40	1985	0.0	0.0	10	-7	0	0	6.5181284	3.6854942	47	0.18010001		-1.0	-1.0
2	40	1986	0.0	0.0	10	-7	0	1	6.5181284	3.6768112	43	0.1808		-1.0	-1.0
2	40	1987	0.0	0.0	10	-7	0	0	6.5181284	3.6421673	38	0.19209999		-1.0	-1.0
2	40	1988	0.0	0.0	10	-7	0	0	6.5181284	3.6265433	34	0.2037		-1.0	-1.0
2	40	1989	0.0	0.0	10	-7	0	1	6.5181284	3.6265385	29	0.2091		-1.0	-1.0
2	40	1990	0.0	0.0	10	-7	0	0	6.5181284	3.488061	25	0.215		-1.0	-1.0
2	40	1991	0.0	0.0	10	-7	0	0	6.5181284	3.4855864	21	0.2136645		-1.0	-1.0
2	41	1934	8.4224666E-5	0.03247549	10	2	0	0	7.2248774	5.0939775	18	0.05642534	0.0886315	-1.0	-1.0
2	41	1935	7.7916084E-5	0.031306356	10	0	0	0	7.2248774	5.0944495	18	0.047115296	0.053109232	-1.0	-1.0
2	41	1936	9.2861905E-5	0.04135999	10	0	1	0	7.2248774	5.1409	19	0.05758506	0.0956275	-1.0	-1.0
2	41	1937	8.356231E-5	0.03785426	10	0	1	0	7.2248774	5.15611	21	0.0692032	0.07085677	-1.0	-1.0
2	41	1938	9.933535E-5	0.042018536	10	0	1	0	7.2248774	5.160082	22	0.058153875	0.07513493	-1.0	-1.0
2	41	1960	8.776207E-5	0.044873457	10	-8	1	0	7.2248774	5.380886	33	0.09215854	0.098788045	-1.0	-1.0
2	41	1961	8.872054E-5	0.04850456	10	-8	1	0	7.2248774	5.364954	33	0.08915195	0.08387392	-1.0	-1.0
2	41	1962	8.7624496E-5	0.047829498	10	-9	1	1	7.2248774	5.363951	34	0.0882959	0.095936246	-1.0	-1.0
2	41	1963	8.144856E-5	0.04608746	10	-9	1	0	7.2248774	5.342303	34	0.089119606	0.095672905	-1.0	-1.0
2	41	1964	7.951621E-5	0.047079373	10	-9	1	0	7.2248774	5.341888	34	0.09326735	0.087309755	-1.0	-1.0
2	41	1965	6.3378415E-5	0.038630534	10	-9	1	0	7.2248774	5.3297544	35	0.0949	0.08432117	-1.0	-1.0
2	41	1966	5.6570436E-5	0.03603872	10	-9	1	0	7.2248774	5.2744102	35	0.0986	0.07995068	-1.0	-1.0
2	41	1967	5.614889E-5	0.0386445	10	-9	1	0	7.2248774	5.3301272	35	0.0998	0.07717994	-1.0	-1.0
2	41	1968	5.947448E-5	0.04169922	10	-9	1	0	7.2248774	5.3221564	35	0.1038	0.074241966	-1.0	-1.0
2	41	1969	5.8358095E-5	0.04133169	10	-9	1	0	7.2248774	5.3111463	36	0.1043	0.077619195	-1.0	-1.0
2	41	1970	6.732432E-5	0.04797616	10	-9	1	0	7.2248774	5.2948403	36	0.11350001	0.08356174	-1.0	-1.0
2	41	1971	7.21102E-5	0.048934318	10	-10	1	0	7.2248774	5.265769	37	0.11350001	0.08518673	-1.0	-1.0
2	41	1972	8.8745284E-5	0.06279637	10	-10	1	0	7.2248774	5.2438226	37	0.1195	0.08124774	-1.0	-1.0
2	41	1973	1.0684963E-4	0.08154367	10	-10	1	0	7.2248774	5.209966	38	0.1369	0.09263212	-1.0	-1.0
2	41	1974	1.6780513E-4	0.120622456	10	-10	1	0	7.2248774	5.1838827	38	0.1728	0.1149596	-1.0	-1.0
2	41	1975	1.6129178E-4	0.117720634	10	-10	1	0	7.2248774	5.1571875	39	0.16360001	0.13205387	-1.0	-1.0
2	41	1976	1.7300743E-4	0.1198107	10	-10	1	0	7.2248774	5.129996	39	0.1688	0.15987176	-1.0	-1.0
2	41	1977	1.9201917E-4	0.13410541	10	-9	1	0	7.2248774	5.1039124	40	0.1721	0.15957919	-1.0	-1.0
2	41	1978	1.8262249E-4	0.12880047	10	-9	1	0	7.2248774	5.076153	44	0.17799999	0.15422301	-1.0	-1.0
2	41	1979	1.9173423E-4	0.1342091	10	-9	1	0	7.2248774	5.0514135	48	0.19309999	0.15003897	-1.0	-1.0
2	41	1980	2.123862E-4	0.1341262	10	-9	1	0	7.2248774	5.022816	52	0.21100001	0.17414	-1.0	-1.0
2	41	1981	1.9354178E-4	0.12597866	10	-9	1	0	7.2248774	4.980741	51	0.204	0.14599822	-1.0	-1.0
2	41	1982	1.980012E-4	0.13430738	10	-9	1	0	7.2248774	4.9235253	51	0.1851	0.20074174	-1.0	-1.0
2	41	1983	2.1140148E-4	0.14637537	10	-9	1	0	7.2248774	4.895521	50	0.177	0.2097259	-1.0	-1.0
2	41	1984	2.1624415E-4	0.16219272	10	-9	1	0	7.2248774	5.182787	50	0.1868	0.22246048	-1.0	-1.0
2	41	1985	2.0222692E-4	0.15006508	10	-9	1	0	7.2248774	5.1682534	49	0.18010001	0.18577482	-1.0	-1.0
2	41	1988	1.8054173E-4	0.15097706	10	-7	1	0	7.2248774	5.1578894	29	0.2037	0.116140366	-1.0	-1.0
2	41	1989	1.6604808E-4	0.14228266	10	-6	1	0	7.2248774	5.1520486	22	0.2091	0.09223852	-1.0	-1.0
2	42	1925	1.3103026E-4	0.10404748	10	-3	0	0	7.3129735	5.7630277	16	0.09765426	0.44673416	-1.0	-1.0
2	42	1926	1.4789135E-4	0.11277529	10	-3	0	0	7.3129735	5.7497697	17	0.09504349	0.38303083	-1.0	-1.0
2	42	1927	1.4690642E-4	0.111760646	10	-3	0	0	7.3129735	5.6953263	17	0.09258266	0.4058229	-1.0	-1.0
2	42	1928	2.2627004E-4	0.16918544	10	-3	0	0	7.3129735	5.6967196	18	0.09147379	0.42053062	-1.0	-1.0
2	42	1929	1.68977E-4	0.121153064	10	-3	0	0	7.3129735	5.7030134	18	0.08983635	0.3052325	-1.0	-1.0
2	42	1932	1.5015292E-4	0.07655859	10	-9	0	0	7.3129735	5.673292	20	0.049397893	0.18879183	-1.0	-1.0
2	42	1933	1.1447149E-4	0.051952414	10	-9	0	0	7.3129735	5.6449494	21	0.04790107	0.121108115	-1.0	-1.0
2	42	1934	1.0770479E-4	0.052219853	10	-9	0	0	7.3129735	5.4834414	21	0.05642534	0.18731977	-1.0	-1.0
2	42	1935	1.04728024E-4	0.051357687	10	-9	0	0	7.3129735	5.6640267	22	0.047115296	0.1441908	-1.0	-1.0
2	42	1936	1.2638769E-4	0.068122104	10	-9	1	0	7.3129735	5.5195174	23	0.05758506	0.19350982	-1.0	-1.0
2	42	1937	1.332644E-4	0.07235379	10	-9	1	0	7.3129735	5.5390296	24	0.0692032	0.17288266	-1.0	-1.0
2	42	1938	1.3221288E-4	0.06524711	10	-9	1	0	7.3129735	5.5539656	24	0.058153875	0.14761089	-1.0	-1.0
2	42	1950	2.8582782E-4	0.16078416	10	-9	1	0	7.3129735	5.285798	28	0.0858434	0.32849303	-1.0	-1.0
2	42	1951	3.0451853E-4	0.15426917	10	-9	1	0	7.3129735	5.346184	28	0.10117532	0.34916803	-1.0	-1.0
2	42	1952	3.269542E-4	0.17117018	10	-9	1	0	7.3129735	5.339891	28	0.09580055	0.4210518	-1.0	-1.0
2	42	1953	2.8864524E-4	0.16005984	10	-9	1	0	7.3129735	5.4754596	29	0.0930526	0.38521552	-1.0	-1.0
2	42	1954	3.5884677E-4	0.18299596	10	-9	1	0	7.3129735	5.439209	29	0.0881012	0.37309846	-1.0	-1.0
2	42	1955	3.231659E-4	0.17449334	10	-9	1	0	7.3129735	5.4798603	29	0.08658751	0.38091785	-1.0	-1.0
2	42	1956	3.2089293E-4	0.15963869	10	-9	1	0	7.3129735	5.3504095	29	0.09714165	0.36458522	-1.0	-1.0
2	42	1957	3.2281282E-4	0.14747582	10	-9	1	0	7.3129735	5.1148195	29	0.09880964	0.3640599	-1.0	-1.0
2	42	1958	3.468685E-4	0.15306833	10	-9	1	1	7.3129735	5.2684774	30	0.09133009	0.32162398	-1.0	-1.0
2	42	1959	2.904759E-4	0.140053	10	-9	1	0	7.3129735	5.2379193	30	0.089752376	0.3236108	-1.0	-1.0
2	42	1960	3.1633352E-4	0.14605376	10	-9	1	1	7.3129735	5.22384	30	0.09215854	0.32011312	-1.0	-1.0
2	42	1962	4.174431E-4	0.17218946	10	-3	1	0	7.3129735	5.204882	33	0.0882959	0.21482053	-1.0	-1.0
2	42	1964	3.969586E-4	0.15415873	10	-3	1	0	7.3129735	5.1360073	37	0.09326735	0.2886734	-1.0	-1.0
2	42	1965	2.8311898E-4	0.13447374	10	-3	1	0	7.3129735	5.1076946	39	0.0949	0.3336	-1.0	-1.0
2	42	1966	2.9807762E-4	0.13083304	10	-3	1	0	7.3129735	5.125693	40	0.0986	0.38169998	-1.0	-1.0
2	42	1967	2.9825993E-4	0.13141762	10	-3	1	0	7.3129735	5.1087523	42	0.0998	0.39330003	-1.0	-1.0
2	42	1968	3.202735E-4	0.14562987	10	-3	1	0	7.3129735	5.0868897	44	0.1038	0.41529998	-1.0	-1.0
2	42	1969	3.164235E-4	0.13443445	10	-3	1	0	7.3129735	5.0453663	45	0.1043	0.4085	-1.0	-1.0
2	42	1970	3.343478E-4	0.13438302	10	-3	1	0	7.3129735	4.981445	47	0.11350001	0.4181	-1.0	-1.0
2	42	1971	3.177583E-4	0.119901605	10	-3	1	0	7.3129735	4.96386	47	0.11350001	0.4108	-1.0	-1.0
2	42	1972	3.552295E-4	0.123281926	10	-3	1	0	7.3129735	4.915146	46	0.1195	0.4614	-1.0	-1.0
2	42	1973	4.1147842E-4	0.13807298	10	-3	1	0	7.3129735	4.8836126	46	0.1369	0.4756	-1.0	-1.0
2	42	1974	6.26582E-4	0.18877226	10	-3	1	0	7.3129735	4.8552585	45	0.1728	0.6116	-1.0	-1.0
2	42	1975	6.999812E-4	0.20980664	10	-3	1	0	7.3129735	4.8315096	45	0.16360001	0.5771	-1.0	-1.0
2	42	1976	5.538158E-4	0.16841653	10	-3	1	0	7.3129735	4.7889957	44	0.1688	0.4909	-1.0	-1.0
2	42	1977	5.5368146E-4	0.16532016	10	-3	1	0	7.3129735	4.76084	44	0.1721	0.4418	-1.0	-1.0
2	42	1978	4.681075E-4	0.1465004	10	6	1	0	7.3129735	4.7439713	48	0.17799999	0.4152	-1.0	-1.0
2	42	1979	5.289789E-4	0.16477372	10	6	1	0	7.3129735	4.713543	53	0.19309999	0.4763	-1.0	-1.0
2	42	1980	5.99305E-4	0.15807529	10	6	1	0	7.3129735	4.6994867	57	0.21100001	0.4811	-1.0	-1.0
2	42	1981	5.761121E-4	0.1541183	10	6	1	0	7.3129735	4.6663427	56	0.204	0.4584	-1.0	-1.0
2	42	1982	4.2290162E-4	0.1102764	10	7	1	0	7.3129735	4.6311264	54	0.1851	0.3361	-1.0	-1.0
2	42	1983	4.381219E-4	0.11365326	10	7	1	0	7.3129735	4.6115932	53	0.177	0.32709998	-1.0	-1.0
2	42	1984	4.5520748E-4	0.1325262	10	7	1	0	7.3129735	4.8721585	51	0.1868	0.6107	-1.0	-1.0
2	42	1985	4.4715402E-4	0.1308976	10	7	1	0	7.3129735	4.8855734	50	0.18010001	0.64239997	-1.0	-1.0
2	42	1986	4.8670612E-4	0.14096235	10	7	1	0	7.3129735	4.806768	42	0.1808	0.5603	-1.0	-1.0
2	42	1987	5.245859E-4	0.14895956	10	7	1	0	7.3129735	4.5146923	35	0.19209999	0.6914	-1.0	-1.0
2	42	1988	5.838196E-4	0.15786418	10	7	1	0	7.3129735	4.5092144	27	0.2037	0.8204	-1.0	-1.0
